actual_value,predicted_value,Correct_Prediction
disco,metal,False
disco,metal,False
disco,rock,False
disco,jazz,False
disco,rock,False
disco,hiphop,False
disco,metal,False
disco,metal,False
disco,disco,True
disco,metal,False
disco,disco,True
disco,metal,False
disco,rock,False
disco,blues,False
disco,metal,False
disco,disco,True
disco,rock,False
disco,rock,False
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,hiphop,False
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,hiphop,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,metal,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,pop,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,reggae,False
hiphop,pop,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,reggae,False
hiphop,metal,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,reggae,False
hiphop,hiphop,True
reggae,rock,False
reggae,reggae,True
reggae,blues,False
reggae,reggae,True
reggae,hiphop,False
reggae,reggae,True
reggae,reggae,True
reggae,blues,False
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,classical,False
reggae,disco,False
reggae,reggae,True
reggae,reggae,True
reggae,pop,False
reggae,classical,False
reggae,reggae,True
reggae,hiphop,False
reggae,metal,False
reggae,reggae,True
reggae,jazz,False
reggae,pop,False
country,country,True
country,jazz,False
country,jazz,False
country,country,True
country,classical,False
country,country,True
country,blues,False
country,blues,False
country,rock,False
country,classical,False
country,country,True
country,country,True
country,country,True
country,blues,False
country,country,True
country,blues,False
country,jazz,False
country,jazz,False
country,blues,False
country,country,True
country,country,True
country,rock,False
country,country,True
country,rock,False
country,country,True
country,country,True
country,country,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,reggae,False
classical,classical,True
classical,classical,True
classical,jazz,False
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
pop,pop,True
pop,country,False
pop,pop,True
pop,classical,False
pop,disco,False
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,hiphop,False
pop,pop,True
pop,country,False
pop,pop,True
pop,hiphop,False
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,hiphop,False
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
jazz,classical,False
jazz,classical,False
jazz,jazz,True
jazz,country,False
jazz,classical,False
jazz,blues,False
jazz,reggae,False
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,blues,False
jazz,classical,False
jazz,classical,False
jazz,jazz,True
jazz,classical,False
jazz,pop,False
jazz,jazz,True
jazz,classical,False
jazz,jazz,True
jazz,jazz,True
jazz,pop,False
jazz,pop,False
jazz,jazz,True
jazz,classical,False
jazz,pop,False
jazz,country,False
jazz,jazz,True
jazz,reggae,False
jazz,jazz,True
jazz,pop,False
jazz,reggae,False
jazz,jazz,True
jazz,jazz,True
rock,metal,False
rock,hiphop,False
rock,rock,True
rock,metal,False
rock,hiphop,False
rock,rock,True
rock,reggae,False
rock,blues,False
rock,disco,False
rock,disco,False
rock,disco,False
rock,metal,False
rock,disco,False
rock,country,False
rock,country,False
rock,rock,True
rock,disco,False
rock,metal,False
rock,pop,False
rock,pop,False
rock,metal,False
rock,rock,True
rock,country,False
rock,rock,True
rock,blues,False
rock,metal,False
rock,disco,False
rock,rock,True
rock,disco,False
rock,metal,False
blues,reggae,False
blues,rock,False
blues,classical,False
blues,blues,True
blues,metal,False
blues,blues,True
blues,reggae,False
blues,blues,True
blues,blues,True
blues,jazz,False
blues,country,False
blues,country,False
blues,blues,True
blues,metal,False
blues,metal,False
blues,metal,False
blues,blues,True
blues,metal,False
blues,metal,False
blues,metal,False
blues,metal,False
blues,disco,False
blues,disco,False
blues,jazz,False
blues,disco,False
blues,rock,False
blues,metal,False
blues,country,False
blues,hiphop,False
blues,pop,False
blues,blues,True
blues,reggae,False
disco,disco,True
disco,disco,True
disco,disco,True
disco,disco,True
disco,disco,True
disco,disco,True
disco,disco,True
disco,disco,True
disco,disco,True
disco,disco,True
disco,pop,False
disco,classical,False
disco,metal,False
disco,disco,True
disco,hiphop,False
disco,reggae,False
disco,reggae,False
disco,disco,True
disco,disco,True
disco,disco,True
disco,disco,True
disco,disco,True
disco,rock,False
disco,hiphop,False
disco,blues,False
metal,metal,True
metal,disco,False
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,hiphop,False
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
hiphop,hiphop,True
hiphop,reggae,False
hiphop,hiphop,True
hiphop,metal,False
hiphop,hiphop,True
hiphop,metal,False
hiphop,hiphop,True
hiphop,metal,False
hiphop,hiphop,True
hiphop,pop,False
hiphop,hiphop,True
hiphop,pop,False
hiphop,jazz,False
hiphop,classical,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,reggae,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,reggae,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,pop,False
hiphop,hiphop,True
hiphop,pop,False
hiphop,reggae,False
hiphop,metal,False
reggae,country,False
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,blues,False
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,classical,False
reggae,rock,False
reggae,hiphop,False
reggae,reggae,True
reggae,pop,False
reggae,reggae,True
reggae,hiphop,False
reggae,reggae,True
reggae,hiphop,False
reggae,hiphop,False
reggae,reggae,True
reggae,reggae,True
reggae,classical,False
reggae,metal,False
reggae,hiphop,False
reggae,pop,False
country,pop,False
country,pop,False
country,pop,False
country,pop,False
country,country,True
country,rock,False
country,classical,False
country,blues,False
country,country,True
country,classical,False
country,classical,False
country,jazz,False
country,country,True
country,country,True
country,country,True
country,country,True
country,jazz,False
country,rock,False
country,country,True
country,jazz,False
country,country,True
country,country,True
country,country,True
country,country,True
country,country,True
country,reggae,False
country,classical,False
country,country,True
country,blues,False
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,jazz,False
classical,classical,True
classical,country,False
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,reggae,False
classical,classical,True
classical,classical,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,reggae,False
pop,metal,False
pop,pop,True
pop,hiphop,False
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,jazz,False
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
jazz,classical,False
jazz,jazz,True
jazz,country,False
jazz,country,False
jazz,classical,False
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,disco,False
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,blues,False
jazz,jazz,True
jazz,jazz,True
jazz,classical,False
jazz,jazz,True
jazz,blues,False
jazz,disco,False
jazz,classical,False
jazz,jazz,True
jazz,pop,False
jazz,jazz,True
jazz,jazz,True
jazz,classical,False
jazz,classical,False
jazz,country,False
jazz,disco,False
rock,reggae,False
rock,rock,True
rock,country,False
rock,reggae,False
rock,blues,False
rock,metal,False
rock,metal,False
rock,metal,False
rock,metal,False
rock,metal,False
rock,metal,False
rock,metal,False
rock,disco,False
rock,disco,False
rock,metal,False
rock,rock,True
rock,classical,False
rock,rock,True
rock,reggae,False
rock,blues,False
rock,disco,False
rock,disco,False
rock,jazz,False
rock,pop,False
rock,jazz,False
rock,rock,True
rock,metal,False
rock,rock,True
rock,metal,False
rock,blues,False
rock,disco,False
rock,metal,False
rock,country,False
blues,blues,True
blues,reggae,False
blues,blues,True
blues,jazz,False
blues,blues,True
blues,jazz,False
blues,jazz,False
blues,blues,True
blues,jazz,False
blues,blues,True
blues,blues,True
blues,rock,False
blues,blues,True
blues,blues,True
blues,metal,False
blues,metal,False
blues,disco,False
blues,blues,True
blues,jazz,False
blues,metal,False
blues,disco,False
blues,metal,False
blues,blues,True
disco,metal,False
disco,pop,False
disco,disco,True
disco,hiphop,False
disco,pop,False
disco,reggae,False
disco,pop,False
disco,disco,True
disco,pop,False
disco,hiphop,False
disco,pop,False
disco,rock,False
disco,disco,True
disco,disco,True
disco,disco,True
disco,country,False
disco,disco,True
disco,hiphop,False
disco,disco,True
disco,disco,True
disco,hiphop,False
disco,rock,False
disco,metal,False
disco,metal,False
disco,hiphop,False
disco,blues,False
disco,rock,False
disco,disco,True
disco,disco,True
disco,blues,False
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,hiphop,False
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,disco,False
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
metal,metal,True
hiphop,metal,False
hiphop,hiphop,True
hiphop,metal,False
hiphop,classical,False
hiphop,metal,False
hiphop,metal,False
hiphop,pop,False
hiphop,disco,False
hiphop,hiphop,True
hiphop,disco,False
hiphop,metal,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,pop,False
hiphop,metal,False
hiphop,hiphop,True
hiphop,pop,False
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,hiphop,True
hiphop,pop,False
hiphop,pop,False
hiphop,metal,False
hiphop,metal,False
hiphop,metal,False
hiphop,hiphop,True
reggae,blues,False
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,blues,False
reggae,disco,False
reggae,reggae,True
reggae,hiphop,False
reggae,reggae,True
reggae,metal,False
reggae,blues,False
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,reggae,True
reggae,hiphop,False
reggae,blues,False
reggae,jazz,False
reggae,hiphop,False
reggae,hiphop,False
reggae,reggae,True
reggae,hiphop,False
reggae,reggae,True
reggae,disco,False
reggae,blues,False
reggae,pop,False
reggae,reggae,True
reggae,jazz,False
reggae,reggae,True
reggae,hiphop,False
reggae,disco,False
reggae,pop,False
reggae,metal,False
reggae,hiphop,False
reggae,reggae,True
country,pop,False
country,pop,False
country,disco,False
country,pop,False
country,pop,False
country,pop,False
country,blues,False
country,rock,False
country,rock,False
country,country,True
country,country,True
country,country,True
country,rock,False
country,disco,False
country,rock,False
country,rock,False
country,hiphop,False
country,rock,False
country,rock,False
country,pop,False
country,country,True
country,country,True
country,country,True
country,rock,False
country,blues,False
country,country,True
country,rock,False
country,classical,False
country,country,True
country,country,True
country,country,True
country,country,True
country,country,True
country,country,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,jazz,False
classical,classical,True
classical,rock,False
classical,classical,True
classical,jazz,False
classical,classical,True
classical,country,False
classical,classical,True
classical,jazz,False
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
classical,classical,True
